25-05-20,11:50:53,8799150300
25-05-20,11:50:56,8799119900
25-05-20,11:56:02,8799120450
25-05-20,12:00:30,8799124600
25-05-20,12:04:33,8799124950
25-05-20,12:07:26,8799126000
25-05-20,12:50:20,8799125000
25-05-20,12:50:23,8799121600
25-05-20,12:50:26,8799120700
25-05-20,12:53:24,8799122450
25-05-20,12:53:39,8799122550
25-05-20,13:03:41,8799100000
25-05-20,13:29:13,8799119500
25-05-20,13:31:45,8799119200
25-05-20,13:33:27,8799118000
25-05-20,13:34:07,8799118300
25-05-20,13:34:35,8799118650
25-05-20,13:41:43,8799118200
25-05-20,13:47:23,8799117000
25-05-20,13:50:10,8799117550
25-05-20,13:54:09,8799116000
25-05-20,14:10:06,8799118700
25-05-20,15:21:34,8799120000
25-05-20,15:31:12,8799111400
25-05-20,15:52:38,8799111000
25-05-20,15:52:44,8799111750
25-05-20,15:52:46,8799106000
25-05-20,15:53:26,8799110650
25-05-20,15:53:29,8799109150
25-05-20,15:53:32,8799108450
25-05-20,15:54:57,8799112050
25-05-20,15:56:15,8799023400
25-05-20,15:56:18,8799023150
25-05-20,15:56:21,8799021150
25-05-20,15:56:24,8799015150
25-05-20,15:56:27,8799013150
25-05-20,15:56:30,8799012100
25-05-20,15:56:32,8799011150
25-05-20,15:56:35,8799007150
25-05-20,15:56:38,8799005150
25-05-20,15:56:41,8798979200
25-05-20,16:12:17,8799107300
25-05-20,16:23:05,8799107050
25-05-20,16:24:22,8799107000
25-05-20,17:09:13,8799106500
25-05-20,17:46:29,8799109500
25-05-20,17:48:39,8799106400
25-05-20,17:48:58,8799107400
25-05-20,17:51:08,8799108500
25-05-20,18:01:17,8799107850
